year,unique_id,buffer_pix_sum,buffer_pix_count,ring_pix_sum,ring_pix_count,buffer_area,ring_area,radius
2018,VNM258,2427,132,1488,256,78413712.2636463,78413712.26364858,5000
1992,VNM424,1137,132,1195,272,78413712.26364636,78413712.26364833,5000
1993,VNM424,1251,132,1398,272,78413712.26364636,78413712.26364833,5000
1994,VNM424,1448,132,1602,272,78413712.26364636,78413712.26364833,5000
1995,VNM424,2069,132,2171,272,78413712.26364636,78413712.26364833,5000
1996,VNM424,2533,132,2585,272,78413712.26364636,78413712.26364833,5000
1997,VNM424,3386,132,3411,272,78413712.26364636,78413712.26364833,5000
1998,VNM424,3719,132,3759,272,78413712.26364636,78413712.26364833,5000
1999,VNM424,4171,132,4024,272,78413712.26364636,78413712.26364833,5000
2000,VNM424,4737,132,4281,272,78413712.26364636,78413712.26364833,5000
2001,VNM424,5254,132,4773,272,78413712.26364636,78413712.26364833,5000
2002,VNM424,5489,132,5051,272,78413712.26364636,78413712.26364833,5000
2003,VNM424,5539,132,5101,272,78413712.26364636,78413712.26364833,5000
2004,VNM424,5202,132,4855,272,78413712.26364636,78413712.26364833,5000
2005,VNM424,5436,132,5063,272,78413712.26364636,78413712.26364833,5000
2006,VNM424,5499,132,5087,272,78413712.26364636,78413712.26364833,5000
2007,VNM424,5484,132,5134,272,78413712.26364636,78413712.26364833,5000
2008,VNM424,5347,132,4998,272,78413712.26364636,78413712.26364833,5000
2009,VNM424,5240,144,4982,256,78413712.26364636,78413712.26364833,5000
2010,VNM424,5234,144,5011,256,78413712.26364636,78413712.26364833,5000
2011,VNM424,5504,144,5234,256,78413712.26364636,78413712.26364833,5000
2012,VNM424,5781,132,5420,272,78413712.26364636,78413712.26364833,5000
2013,VNM424,5679,132,5376,272,78413712.26364636,78413712.26364833,5000
2014,VNM424,5277,132,5031,272,78413712.26364636,78413712.26364833,5000
2015,VNM424,5343,132,5105,272,78413712.26364636,78413712.26364833,5000
2016,VNM424,5396,132,5159,272,78413712.26364636,78413712.26364833,5000
2017,VNM424,5449,132,5214,272,78413712.26364636,78413712.26364833,5000
2018,VNM424,5534,132,5280,272,78413712.26364636,78413712.26364833,5000
1992,ZAF1,739,120,799,224,78413712.26364774,78413712.26365055,5000
1993,ZAF1,636,120,777,224,78413712.26364774,78413712.26365055,5000
1994,ZAF1,656,120,802,224,78413712.26364774,78413712.26365055,5000
1995,ZAF1,727,120,858,224,78413712.26364774,78413712.26365055,5000
1996,ZAF1,765,120,907,224,78413712.26364774,78413712.26365055,5000
1997,ZAF1,661,120,833,224,78413712.26364774,78413712.26365055,5000
1998,ZAF1,939,120,1115,224,78413712.26364774,78413712.26365055,5000
1999,ZAF1,907,120,1065,224,78413712.26364774,78413712.26365055,5000
2000,ZAF1,825,120,1000,224,78413712.26364774,78413712.26365055,5000
2001,ZAF1,819,120,1017,224,78413712.26364774,78413712.26365055,5000
2002,ZAF1,726,120,967,224,78413712.26364774,78413712.26365055,5000
2003,ZAF1,1642,120,1384,224,78413712.26364774,78413712.26365055,5000
2004,ZAF1,1363,120,1487,224,78413712.26364774,78413712.26365055,5000
2005,ZAF1,1272,120,1387,224,78413712.26364774,78413712.26365055,5000
2006,ZAF1,1406,120,1373,224,78413712.26364774,78413712.26365055,5000
2007,ZAF1,1724,120,1524,224,78413712.26364774,78413712.26365055,5000
2008,ZAF1,1780,120,1550,224,78413712.26364774,78413712.26365055,5000
2009,ZAF1,2113,120,1916,208,78413712.26364774,78413712.26365055,5000
2010,ZAF1,2734,120,1977,208,78413712.26364774,78413712.26365055,5000
2011,ZAF1,2937,120,2154,208,78413712.26364774,78413712.26365055,5000
2012,ZAF1,3226,120,2111,224,78413712.26364774,78413712.26365055,5000
2013,ZAF1,3168,120,2129,224,78413712.26364774,78413712.26365055,5000
2014,ZAF1,3386,120,2421,224,78413712.26364774,78413712.26365055,5000
2015,ZAF1,3403,120,2454,224,78413712.26364774,78413712.26365055,5000
2016,ZAF1,3497,120,2571,224,78413712.26364774,78413712.26365055,5000
2017,ZAF1,3494,120,2598,224,78413712.26364774,78413712.26365055,5000
2018,ZAF1,3407,120,2539,224,78413712.26364774,78413712.26365055,5000
1992,ARG9,1745,132,1213,240,78413712.26364996,78413712.26364593,5000
1993,ARG9,2713,132,1671,240,78413712.26364996,78413712.26364593,5000
1994,ARG9,2418,132,1566,240,78413712.26364996,78413712.26364593,5000
1995,ARG9,2945,132,2000,240,78413712.26364996,78413712.26364593,5000
1996,ARG9,3124,132,2084,240,78413712.26364996,78413712.26364593,5000
1997,ARG9,3261,132,2227,240,78413712.26364996,78413712.26364593,5000
1998,ARG9,3241,132,2102,240,78413712.26364996,78413712.26364593,5000
1999,ARG9,3258,132,2170,240,78413712.26364996,78413712.26364593,5000
2000,ARG9,3044,132,2122,240,78413712.26364996,78413712.26364593,5000
2001,ARG9,3033,132,2001,240,78413712.26364996,78413712.26364593,5000
2002,ARG9,3274,132,2168,240,78413712.26364996,78413712.26364593,5000
2003,ARG9,3196,132,1911,240,78413712.26364996,78413712.26364593,5000
2004,ARG9,3573,132,2324,240,78413712.26364996,78413712.26364593,5000
2005,ARG9,3028,132,1913,240,78413712.26364996,78413712.26364593,5000
2006,ARG9,3196,132,2171,240,78413712.26364996,78413712.26364593,5000
2007,ARG9,3339,132,2256,240,78413712.26364996,78413712.26364593,5000
2008,ARG9,3441,132,2330,240,78413712.26364996,78413712.26364593,5000
2009,ARG9,3787,120,2462,240,78413712.26364996,78413712.26364593,5000
2010,ARG9,3726,120,2476,240,78413712.26364996,78413712.26364593,5000
2011,ARG9,4178,120,2578,240,78413712.26364996,78413712.26364593,5000
2012,ARG9,3613,132,2476,240,78413712.26364996,78413712.26364593,5000
2013,ARG9,3777,132,2569,240,78413712.26364996,78413712.26364593,5000
2014,ARG9,4322,132,3263,240,78413712.26364996,78413712.26364593,5000
2015,ARG9,4283,132,3296,240,78413712.26364996,78413712.26364593,5000
2016,ARG9,4245,132,3200,240,78413712.26364996,78413712.26364593,5000
2017,ARG9,4321,132,3371,240,78413712.26364996,78413712.26364593,5000
2018,ARG9,4323,132,3376,240,78413712.26364996,78413712.26364593,5000
1992,BGD7,746,132,188,256,78413712.2636463,78413712.26364858,5000
1993,BGD7,814,132,227,256,78413712.2636463,78413712.26364858,5000
1994,BGD7,888,132,269,256,78413712.2636463,78413712.26364858,5000
1995,BGD7,935,132,271,256,78413712.2636463,78413712.26364858,5000
1996,BGD7,827,132,253,256,78413712.2636463,78413712.26364858,5000
1997,BGD7,882,132,226,256,78413712.2636463,78413712.26364858,5000
1998,BGD7,936,132,250,256,78413712.2636463,78413712.26364858,5000
1999,BGD7,1015,132,284,256,78413712.2636463,78413712.26364858,5000
2000,BGD7,1025,132,363,256,78413712.2636463,78413712.26364858,5000
2001,BGD7,995,132,287,256,78413712.2636463,78413712.26364858,5000
2002,BGD7,976,132,269,256,78413712.2636463,78413712.26364858,5000
2003,BGD7,820,132,206,256,78413712.2636463,78413712.26364858,5000
2004,BGD7,991,132,237,256,78413712.2636463,78413712.26364858,5000
2005,BGD7,852,132,205,256,78413712.2636463,78413712.26364858,5000
2006,BGD7,730,132,179,256,78413712.2636463,78413712.26364858,5000
2007,BGD7,779,132,182,256,78413712.2636463,78413712.26364858,5000
2008,BGD7,691,132,162,256,78413712.2636463,78413712.26364858,5000
2009,BGD7,718,132,183,240,78413712.2636463,78413712.26364858,5000
2010,BGD7,573,132,162,240,78413712.2636463,78413712.26364858,5000
2011,BGD7,682,132,228,240,78413712.2636463,78413712.26364858,5000
2012,BGD7,751,132,201,256,78413712.2636463,78413712.26364858,5000
2013,BGD7,1058,132,255,256,78413712.2636463,78413712.26364858,5000
2014,BGD7,1203,132,622,256,78413712.2636463,78413712.26364858,5000
2015,BGD7,1473,132,691,256,78413712.2636463,78413712.26364858,5000
2016,BGD7,1454,132,682,256,78413712.2636463,78413712.26364858,5000
2017,BGD7,1893,132,851,256,78413712.2636463,78413712.26364858,5000
2018,BGD7,2073,132,921,256,78413712.2636463,78413712.26364858,5000
1992,CHN20,472,108,624,192,78413712.26364848,78413712.26364404,5000
1993,CHN20,959,108,892,192,78413712.26364848,78413712.26364404,5000
1994,CHN20,647,108,687,192,78413712.26364848,78413712.26364404,5000
1995,CHN20,660,108,762,192,78413712.26364848,78413712.26364404,5000
1996,CHN20,840,108,676,192,78413712.26364848,78413712.26364404,5000
1997,CHN20,678,108,608,192,78413712.26364848,78413712.26364404,5000
1998,CHN20,755,108,773,192,78413712.26364848,78413712.26364404,5000
1999,CHN20,588,108,578,192,78413712.26364848,78413712.26364404,5000
2000,CHN20,944,108,822,192,78413712.26364848,78413712.26364404,5000
2001,CHN20,698,108,726,192,78413712.26364848,78413712.26364404,5000
2002,CHN20,992,108,890,192,78413712.26364848,78413712.26364404,5000
2003,CHN20,677,108,720,192,78413712.26364848,78413712.26364404,5000
2004,CHN20,1352,108,1104,192,78413712.26364848,78413712.26364404,5000
2005,CHN20,1389,108,1105,192,78413712.26364848,78413712.26364404,5000
2006,CHN20,1504,108,1106,192,78413712.26364848,78413712.26364404,5000
2007,CHN20,1576,108,1141,192,78413712.26364848,78413712.26364404,5000
2008,CHN20,1652,108,1214,192,78413712.26364848,78413712.26364404,5000
2009,CHN20,2311,108,1412,192,78413712.26364848,78413712.26364404,5000
2010,CHN20,1906,108,1178,192,78413712.26364848,78413712.26364404,5000
2011,CHN20,2166,108,1246,192,78413712.26364848,78413712.26364404,5000
2012,CHN20,1859,108,1352,192,78413712.26364848,78413712.26364404,5000
2013,CHN20,2351,108,1503,192,78413712.26364848,78413712.26364404,5000
2014,CHN20,2149,108,1515,192,78413712.26364848,78413712.26364404,5000
2015,CHN20,2726,108,1761,192,78413712.26364848,78413712.26364404,5000
2016,CHN20,3315,108,2039,192,78413712.26364848,78413712.26364404,5000
2017,CHN20,3428,108,2068,192,78413712.26364848,78413712.26364404,5000
2018,CHN20,3296,108,2116,192,78413712.26364848,78413712.26364404,5000
1992,CHN51,787,120,837,224,78413712.26364848,78413712.26364404,5000
1993,CHN51,1275,120,1073,224,78413712.26364848,78413712.26364404,5000
1994,CHN51,1454,120,1193,224,78413712.26364848,78413712.26364404,5000
1995,CHN51,1916,120,1493,224,78413712.26364848,78413712.26364404,5000
1996,CHN51,1947,120,1501,224,78413712.26364848,78413712.26364404,5000
1997,CHN51,1983,120,1636,224,78413712.26364848,78413712.26364404,5000
1998,CHN51,1722,120,1498,224,78413712.26364848,78413712.26364404,5000
1999,CHN51,1898,120,1717,224,78413712.26364848,78413712.26364404,5000
2000,CHN51,2336,120,2012,224,78413712.26364848,78413712.26364404,5000
2001,CHN51,2899,120,2383,224,78413712.26364848,78413712.26364404,5000
2002,CHN51,3024,120,2500,224,78413712.26364848,78413712.26364404,5000
2003,CHN51,3498,120,2841,224,78413712.26364848,78413712.26364404,5000
2004,CHN51,3666,120,3255,224,78413712.26364848,78413712.26364404,5000
2005,CHN51,3670,120,3223,224,78413712.26364848,78413712.26364404,5000
2006,CHN51,3718,120,3362,224,78413712.26364848,78413712.26364404,5000
2007,CHN51,3796,120,3411,224,78413712.26364848,78413712.26364404,5000
2008,CHN51,3711,120,3262,224,78413712.26364848,78413712.26364404,5000
2009,CHN51,4014,99,3175,221,78413712.26364848,78413712.26364404,5000
2010,CHN51,3923,99,3440,221,78413712.26364848,78413712.26364404,5000
2011,CHN51,4412,99,3793,221,78413712.26364848,78413712.26364404,5000
2012,CHN51,4177,120,4162,224,78413712.26364848,78413712.26364404,5000
2013,CHN51,4075,120,4183,224,78413712.26364848,78413712.26364404,5000
2014,CHN51,4033,120,3798,224,78413712.26364848,78413712.26364404,5000
2015,CHN51,4025,120,3827,224,78413712.26364848,78413712.26364404,5000
2016,CHN51,4056,120,4001,224,78413712.26364848,78413712.26364404,5000
2017,CHN51,4061,120,4052,224,78413712.26364848,78413712.26364404,5000
2018,CHN51,4108,120,4202,224,78413712.26364848,78413712.26364404,5000
1992,CHN46,687,110,695,238,78413712.2636463,78413712.26364858,5000
1993,CHN46,677,110,716,238,78413712.2636463,78413712.26364858,5000
1994,CHN46,633,110,696,238,78413712.2636463,78413712.26364858,5000
1995,CHN46,947,110,1042,238,78413712.2636463,78413712.26364858,5000
1996,CHN46,864,110,1028,238,78413712.2636463,78413712.26364858,5000
1997,CHN46,1410,110,1539,238,78413712.2636463,78413712.26364858,5000
1998,CHN46,1002,110,1384,238,78413712.2636463,78413712.26364858,5000
1999,CHN46,1072,110,1478,238,78413712.2636463,78413712.26364858,5000
2000,CHN46,1291,110,1653,238,78413712.2636463,78413712.26364858,5000
2001,CHN46,1772,110,2164,238,78413712.2636463,78413712.26364858,5000
2002,CHN46,3509,110,3283,238,78413712.2636463,78413712.26364858,5000
2003,CHN46,4417,110,3923,238,78413712.2636463,78413712.26364858,5000
2004,CHN46,4652,110,4214,238,78413712.2636463,78413712.26364858,5000
2005,CHN46,4792,110,4421,238,78413712.2636463,78413712.26364858,5000
2006,CHN46,4926,110,4593,238,78413712.2636463,78413712.26364858,5000
2007,CHN46,4884,110,4609,238,78413712.2636463,78413712.26364858,5000
2008,CHN46,4827,110,4568,238,78413712.2636463,78413712.26364858,5000
2009,CHN46,4492,132,4617,240,78413712.2636463,78413712.26364858,5000
2010,CHN46,4602,132,4835,240,78413712.2636463,78413712.26364858,5000
2011,CHN46,4910,132,5131,240,78413712.2636463,78413712.26364858,5000
2012,CHN46,5030,110,4736,238,78413712.2636463,78413712.26364858,5000
2013,CHN46,5163,110,4900,238,78413712.2636463,78413712.26364858,5000
