year,unique_id,buffer_pix_sum,buffer_pix_count,ring_pix_sum,ring_pix_count,buffer_area,ring_area,radius
2014,CHN46,5163,110,4858,238,78413712.2636463,78413712.26364858,5000
2015,CHN46,5166,110,4884,238,78413712.2636463,78413712.26364858,5000
2016,CHN46,5166,110,4887,238,78413712.2636463,78413712.26364858,5000
2017,CHN46,5166,110,4893,238,78413712.2636463,78413712.26364858,5000
2018,CHN46,5166,110,4892,238,78413712.2636463,78413712.26364858,5000
1992,CHN47,756,120,1266,208,78413712.26364848,78413712.26364404,5000
1993,CHN47,956,120,1411,208,78413712.26364848,78413712.26364404,5000
1994,CHN47,942,120,1446,208,78413712.26364848,78413712.26364404,5000
1995,CHN47,1319,120,1743,208,78413712.26364848,78413712.26364404,5000
1996,CHN47,1584,120,1939,208,78413712.26364848,78413712.26364404,5000
1997,CHN47,1878,120,2212,208,78413712.26364848,78413712.26364404,5000
1998,CHN47,2244,120,2346,208,78413712.26364848,78413712.26364404,5000
1999,CHN47,2161,120,2321,208,78413712.26364848,78413712.26364404,5000
2000,CHN47,2087,120,2230,208,78413712.26364848,78413712.26364404,5000
2001,CHN47,2630,120,2535,208,78413712.26364848,78413712.26364404,5000
2002,CHN47,2718,120,2460,208,78413712.26364848,78413712.26364404,5000
2003,CHN47,3212,120,2833,208,78413712.26364848,78413712.26364404,5000
2004,CHN47,3299,120,2732,208,78413712.26364848,78413712.26364404,5000
2005,CHN47,3648,120,3058,208,78413712.26364848,78413712.26364404,5000
2006,CHN47,3540,120,2971,208,78413712.26364848,78413712.26364404,5000
2007,CHN47,3794,120,3263,208,78413712.26364848,78413712.26364404,5000
2008,CHN47,4002,120,3640,208,78413712.26364848,78413712.26364404,5000
2009,CHN47,4039,108,3476,208,78413712.26364848,78413712.26364404,5000
2010,CHN47,4093,108,3611,208,78413712.26364848,78413712.26364404,5000
2011,CHN47,4429,108,3912,208,78413712.26364848,78413712.26364404,5000
2012,CHN47,4313,120,4133,208,78413712.26364848,78413712.26364404,5000
2013,CHN47,4332,120,4209,208,78413712.26364848,78413712.26364404,5000
2014,CHN47,4342,120,4281,208,78413712.26364848,78413712.26364404,5000
2015,CHN47,4344,120,4296,208,78413712.26364848,78413712.26364404,5000
2016,CHN47,4345,120,4306,208,78413712.26364848,78413712.26364404,5000
2017,CHN47,4367,120,4368,208,78413712.26364848,78413712.26364404,5000
2018,CHN47,4382,120,4405,208,78413712.26364848,78413712.26364404,5000
1992,CHN53,877,132,652,224,78413712.2636463,78413712.26364858,5000
1993,CHN53,881,132,650,224,78413712.2636463,78413712.26364858,5000
1994,CHN53,1407,132,782,224,78413712.2636463,78413712.26364858,5000
1995,CHN53,1778,132,1026,224,78413712.2636463,78413712.26364858,5000
1996,CHN53,1802,132,1152,224,78413712.2636463,78413712.26364858,5000
1997,CHN53,2349,132,1385,224,78413712.2636463,78413712.26364858,5000
1998,CHN53,2493,132,1742,224,78413712.2636463,78413712.26364858,5000
1999,CHN53,2564,132,1888,224,78413712.2636463,78413712.26364858,5000
2000,CHN53,2403,132,1823,224,78413712.2636463,78413712.26364858,5000
2001,CHN53,2378,132,1813,224,78413712.2636463,78413712.26364858,5000
2002,CHN53,3201,132,2197,224,78413712.2636463,78413712.26364858,5000
2003,CHN53,3053,132,2269,224,78413712.2636463,78413712.26364858,5000
2004,CHN53,3601,132,2712,224,78413712.2636463,78413712.26364858,5000
2005,CHN53,3394,132,2710,224,78413712.2636463,78413712.26364858,5000
2006,CHN53,3319,132,2669,224,78413712.2636463,78413712.26364858,5000
2007,CHN53,3560,132,2945,224,78413712.2636463,78413712.26364858,5000
2008,CHN53,3569,132,2941,224,78413712.2636463,78413712.26364858,5000
2009,CHN53,3361,120,2678,224,78413712.2636463,78413712.26364858,5000
